BASE	EXPONENT	MODULUS	SELF(ms)	GMP(ms)	DIFFERENCE
2451863964773111802374397514572511156814954839950801219408351446398769208951214144337790205980755819166938235563726757138525417976984150996343130385208726044207574108750401730330907843796013589354789496340211485630516923218009443788966028016653699874687450597473311395027206936875603264885565965460848219025378371600031920708457642590867585461408326483685040586729701388090900310931379867157420015446761134780504569979846846934096231096325285568371408971677695627149616687760735018788093680811732226100709460045401752285415357573128886274692536359860251724099597914538148074006910044199295076283602920293913653554963050141038037495645043324787255897308779221465278121415849387705795523348259110	1060	44	-26410	0	26410
10530675542941411251349652472792618839115358561305605486355789931557010727097255209423432511596449848683689686198150545790101211875877409239619560598735360493694981032579322858633060447093754861450394627745520020506644124795893639292759415986547384319181898537763532674465990824105052442954331004105008669133845100047872291998890725529032987823233832349517926884436719053696220710646507829593943450079653903006115266441985586670661179875575327294015973514796692971249813372868200378616807913270652644211824733292819201246952218552734494942707716120890668285335388089691148922265066317849886858891899763712453849866440438844166558535817203504464370236524341169877710731025390336258016242443977296693554507	1064	35	-27351	0	27351
45228907061720404968633193231609827704193950592121186625376291976283439432403892135839273653369892849800595850833559169853035185536860283989374240253458552279190357734268502203654225884658815375770456052461102698589285866708905855856822261258280591605229479694884593818258844853767288710853757284189853983726349351435459528519798134424908981205955538901926337334374879717165335871024630144713928077765522108410021157374654376053863290262369379912294782747653968400471016682572374344534007703411457503465710925976580860996502198358639107150007034426077402677099888236691399361794106078436405096240876284455116833085655652767583409288204533685851060163107830032571147909102304039862622779133689601465305544403767041	1048	33	-27303	0	27303
194256676663912592836155470749812763421707779834200331824703777731884579988571519386541269853618129980917799300643430973799695248218107122255634773393451232930628847827223875447598831866806280157036059548325696402538328133509765802847941670589082950135992757864625388943665506309668407407706887774317200715119986677886109329724112275876795842056257680013829370252203924989158847390906460482042068369699062211986007429592209764454628366131831746195105440212598815004640447647518760962842999445964277609079035084459291659879498912342459844275919979029948574062766868101844667503380957492439170704162296180116719977961981795354302631845021110739660641327476555711419695062773176569458645169163828050108760991861655262155103655	1032	39	-27287	0	27287
834326073301150969633851633241930417019619970856658727499450730246097327497610729522224736575600575540719052060555207789703123945863372365112625103445243986007929138132087203517814344595735601241883620052767397605326970719941165819851093136095716325465287647521412840804323335963307458420505221344634605801708155497476525983845542927522967866900408127808229972957491129751274404092998175565487078944053509562349321119711563554704492108370131374482550300984795197613284810884893213881852153802962691515259528366989255522508003129378435783358329110246634930161417549769768444199015181859192405443738353169867037768136552542394094536661093811056436824639897832987269604024903460431858353426027029141384577703126331507382476681576090241	1036	40	-28078	0	28078
3583403199028542173736081859290277597006909565177822338443116744370306053235239601436656948754419503506165844924206029059259362896517658792428896176005939846644737244962781067329108763438358748396787133564725767009908054628896882240373472609381178743566702429337243610969023063372026189908949741472446776988188388798144289628310831189075245277196133797988935893499388800491816179901315706641433310375280037244313607136963266420481300549739802116626082465404651967006915517884161174074888208490886787966176359288603138452559265338946038497160164577714075519094532377261607797327571121492723858352428594845476859882543324031768289578491670954075399372118448169461592933621830332112061664469195645374285721393698390780662119910851913321755771278	1020	44	-27959	0	27959
15390599548209367606753221720830616049906144068468327368111429973380456612156189082894516210471379703023539638301672493575544609622339176799968961481324971543082401797628285421386496207794751336279693170134081068516070802598093525778767275683243945501549357328567212263896900926252587966914424357331813792264874508174962469442747015679654970948735849240002750232420413894101019208319803467396086066626845246805988904621049422029302170440679271400420602049512031604556773155147375359044607910324388268353213817312896305176702092132559590454059895735259604793385240092751739525900514165925291673582617257036557286720297978019575668789479351756146958221387669126108607577970460108082123456030520496308170852745702128890771714243139403215967762938958831983	1028	42	-28821	0	28821
66102121725391609231846876033604337889879592643535850857860345019463211714757788155024180141716428568484295064665352342009734203717033675375428623377374467525669570753945096249408580188506477269773580474640442124289259347579283525169138380254548801119160807056014103211327310994006973153260582645405958058139373782155548452283997776745717312788650565028598267198302076597947884820001367001613591934563577370684770802286270540815554775744535378689914606447284748500089745276648711227332848779986148363783125121854208229773170986844122337771341042608109876657474443327476727910853253292233845317298448273057239422894174914969004345248141724659931352530738366634305369291480896218285345525885579509501282550123222448143441268876141129181538766813109027658718248002	1044	36	-30562	0	30562
283906451006768054443594014244096828240766499781788665238043726393870977790008780687125031797884706007560143592351893493248815318617261273868146459388124404368164846890552251370782111251428834957844897463404856282803136141915319507713042211691699256042803865270546613407419377470881201689204198227923754503256277004277908987503186955259565166488256736769750862338976965717073106014280717947223956588039936839856759721075214002611040929919393502188158559723798742807470509028176687201942606816554006555452433235039839226849822886711551690550975304064374464618446528047317964578205126345348696422119578404328521257372394928695454516522661712187441880724568119426799152784113140666305636229738485431315729822834721184909136166719768824515220250418473417876554324450581251966	1052	43	-31696	0	31696
1219368922197495068492783767879754038351421330535173453580889859879647864451630068604038419834874894281045545482215338277178858584204957112350988459210186487540747560931769211016680337766720479415325373245797214542219596935761912087018336051883357139371372977479387896628421349994113953556311987654833679573018435240090471196590660668613647581247857852477760635813704133852142179172476592546727147533355273469090372326548126097415679402521223008053045452476178393244001060760491614041965243946086129573437811228119590736417914401818427496329951151860144204233736956287977398376677452032820652849235800247898863640455235111943229092320323696716427499612752856662324627168273287525630356747199537560073513839447001502463108567672210697973234029784273644025142588682619645387030897634	1052	41	-32746	0	32746
