PRIME_NUMBER	BITS	SELF(prob)	GMP([0:no][1:probably][2:yes])	SELF(ms)	GMP(ms)	DIFFERENCE(ms)	test passed	test run
2313692324665080641481352746188947558510878668541818895178331818912874160011206706306532044011512283285709596009885702557779265888477574847337159	480	0.937500	0	0	0	0	0	3
1635451962018617859944211728214921608534882376519040175799637944614409464865496810157814536634972356014062997760026493060307383180244792577159265	480	0.937500	0	1	0	1	0	3
2567952662715912941955889228661498266894796584160073422397181186074400465072844585163828289427743995125108183784019517519913704577390611790067251	480	0.937500	0	0	0	0	0	3
2513228641592878415080979781641797274781344393746346948609141104956035081112987723603112250682450284044694300926520167173271243156416787404556209	480	0.984375	0	1	0	1	0	4
2473851858656857561361957645080166513868311189646088723802928102526336419721744790548541581723070000355997687250767143978334663919117829870805785	480	0.984375	0	0	0	0	0	4
3067082428243641273600999500425964191612701795043019529930278056886381744277708214667463839429599702818251623455809679733185291568547449763318541	480	0.984375	0	1	0	1	0	4
2702550411338747906517595470748578747204631863362327194750250318180322767988835539730483157397505538108164560673989557789327079849358355911863129	480	0.984375	0	0	0	0	0	4
1630219057463343435900915583661309346376461899667980299154278991067391080879347121982428696925165875988259751023588335657736620769276325996922093	480	0.984375	0	1	0	1	0	4
2660928378332631640354022706296061067216250204355681241966732320589937102530124686106921504663934885935525345289688332459215535298220864466057671	480	0.996094	0	0	0	0	0	5
2629872321939044365747780422451099543817493975729120174821242398143392740220561030590759342503492202504708491933541867075605892019952989255914525	480	1.000000	0	3	0	3	0	30


2070823155226716558671499689017809443881772774279961448823471124137498923116671948129724998939487562483382531732401373332647928163879405865642679	480	0.996094	0	0	1	-1	0	5
2873627206514741554375668047005575745916619170717424754325015367412394766491639485452371219445565373888409471698481432676855262804018426864151329	480	0.996094	0	0	0	0	0	5
2463800460343394907403068371224228469718134003609821379459591841852853517427691353028086981001614038163145522858197536031813998960555137762002297	480	0.996094	0	1	0	1	0	5
3063248910584774106184819360668159573599891271735808344397116862605426197322164034009776311149261749174227005212761369445432431758223252813626623	480	0.996094	0	0	0	0	0	5
2761072349204703650770888345582445566755956766480839586260561295291836235075657239119250344913651955984853828893096181413395004347763305630036493	480	0.996094	0	1	0	1	0	5
2642029012514169416437275404630009542445106332124604770001602375245379874013211935711197295415827215823298782437968484507867044005983629153841781	480	0.996094	0	1	0	1	0	5
2967241652502206212499456793701731541245936479746118382671249065334485593858794337033846037668762056610953994344565255863149871167824274816925517	480	0.996094	0	1	0	1	0	5
2549749758610266342518732589029815144277684936178435576663496532332474822575539783059339906325454094481250686266231354310781643828565945464260965	480	0.999023	0	0	0	0	0	6
2427098404135946867635655023635743678342241499955708863934680264566360485879547575383753945211194195480821982880751930520712343638855602707838331	480	0.999023	0	1	0	1	0	6
2856112142509177079546370669844803848712640039363515438538445581843782512832518642046266626830047493327410575956313177485544542695704192916452589	480	0.999023	0	1	0	1	0	6
53898292168956555117093074093427893389968940033798980946075383046217162276423472837535531724353531207169867672699556928519508571620569114183614799275815356836867621	544	0.750000	0	1	0	1	0	2
52572057250439175194024819307156342018911411743719424469786821468843916608448525778175836349176605672964586898870590676694463964474022811670907584221884787342363543	544	0.750000	0	0	0	0	0	2
38801343360706769692345625872438490519162319686972941589453044434870912367823134518535386236929078305612500145490750428972269654060742629278951036564135023747732985	544	0.750000	0	1	0	1	0	2
47623731898438516897922102296879101410567769510943662504895406035342308664670564134313030255012826260710058168326383073656111683861339909961142961468779613248893745	544	0.750000	0	0	0	0	0	2
48555743858756454877332889286343832259237508375800865712421113848156961926890627862400369627389238498887780351840387769775626555863172107604344486767318098263788283	544	0.750000	0	1	0	1	0	2
33896866202642560366425661630587092173701159536092577612555598606365549101264426003838318283590088821054067205869910468355196095824802227252968132049002695522267511	544	0.750000	0	0	0	0	0	2
30189423342535835146977566502527170498308136423548210306429497293154600957588468644507484389820020600513209109607989085996557197650599960666604619004576070750561467	544	0.750000	0	1	0	1	0	2
34239073158682817950304560684618264125616442124358929212014653796705469174249695501694687732822933715987582948861797961570078753196411763204483553100878542596564829	544	0.937500	0	0	0	0	0	3
47845972241865014970493064676885466809739048650953095052264790625261445066889043937852819264199942502731314230006692922831460811318656124686378163058584571322577659	544	0.937500	0	1	0	1	0	3
46639051010049317596700975376347816035813739044043010392807228821978528857420160633703223895251562259118796917042606621148441390692246844543943805441694564877105271	544	1.000000	0	3	0	3	0	28


54330516890487557767267220087205075830604433927884164518255758610171085941180563606299301740217064583813716618071463334069575823794026021110285009735071583202861955	544	0.937500	0	0	0	0	0	3
54405756641566116162021110989682892718973967465575262763620197672715532827683829322641002505730509885689919641127761636115601905744302815716996742899399704823065145	544	0.937500	0	1	0	1	0	3
54192227483327689595626458871040112174140261326836071245757765935663815185174473812814811980430746126975234218011930261418964445667116246260496729003534475501884801	544	0.937500	0	0	0	0	0	3
29556904808391349543842024460520852926459387382736365047163131801446168212131876240152521725602893971074172382806832281172667941724590696051725244610119697605984971	544	0.937500	0	1	0	1	0	3
36385642186802185752854996941085939184696751645712777037845812494307363126214221331855053598287200586347619109697933938156951490130982032677487859794302631429592857	544	0.984375	0	0	0	0	0	4
47121084710866538743076974354458829445730103696358950159715822315254430494540033805179860266840190380404787673378848114890032534766750529878717626212403161196854315	544	0.984375	0	1	0	1	0	4
41669108182868595307921675971981645685132917753160905728140077260781070920386639922463062878300030654701419659344684989582786792895684361978723400059663254834297409	544	0.984375	0	1	0	1	0	4
39207385862543213339200043073948807523576170638145270963434082908718474215614302274063940531677114619802288377340229426610347966892438099961513005517091428191741797	544	0.984375	0	0	0	0	0	4
44092128714939133761970211703997279370183300048857375096570619287742692587343954858362497357435803132532234691630266478602431398249659427031053478832766898484971775	544	0.984375	0	1	0	1	0	4
46929423696432813733345650470595496031961080486994380762222786412243416584601949445444243295986152235135564150341568060815647352383344835134276127858358553944927325	544	0.996094	0	1	0	1	0	5
48560643588364900257656541250945645270737077893836174562136468730826321293322138075133534670952632864560161904759788519050401277406435084408954188103543737911376039	544	1.000000	0	3	0	3	0	30


44540636374166117761531885034759244028778150730996044377403007342694277575362494096570843228887930194624812891144561122915616643628650323916503906964254336252370427	544	0.996094	0	1	0	1	0	5
52791241381202377335629409207733122906880349463374032610169400791454523077124432638735531689837475325981223168670259782126346426824321257927901130791354523480525219	544	0.996094	0	0	0	0	0	5
39318092268709817702021913285176530611710211371438028400450042440747099602118170146533855804444193531121405279489790492597170804872100921627914549014871739140864105	544	0.996094	0	1	0	1	0	5
51015442565205263380463017474933198093170492790864468385893826480470603261056880364071244593233333167843608506247689013583267048385517373201700088380855630363891899	544	0.996094	0	1	0	1	0	5
51805849449278268248235691652775815160108752274745697153879205094252073500859822345038193463846430156466380855818923338653172427626651932408186085730169570231668631	544	0.996094	0	1	0	1	0	5
36897261738953727972345652853433707851796485586324849241832681784433976589835869960653766788115186701084074716894168334393112541513112376508074013086667108607011005	544	0.996094	0	0	0	0	0	5
54844171139023391669495718860192329435627991966029537596173853907561565041110791147929734248312760795064324427764131265545838221734601620411168366220828787634997579	544	0.996094	0	1	0	1	0	5
54068630435030052109018557008813882126067672236966580406377069493957847114449181373924936611546893746970549375724666231503260730589039660635789019029447225261461293	544	0.999023	0	1	0	1	0	6
31931097622678915778049435355623909761109556657532904412060299562881451059319926050354134331705988949580755925993422033662412329433346352590442609356550082338578739	544	0.999023	0	1	0	1	0	6
36437863729619758245249015080223934072205726643083907592405130385776419929916469014550496605624667336485423162793561100692881333501261106583967153017000598052010419	544	0.999023	0	1	0	1	0	6
683561524013071725231175032135352479364946137736117308592131505278758123161359881952863608249536823511390776343445096929845392141100390030127593058441229144134875089380084657376592263	608	0.750000	0	0	0	0	0	2
1015145300901607796089773687405502704304437752196149863921392819449833237590333672130167093185002247905353147868986838187195727871590276498930583759608732639177474566598021328299658123	608	0.750000	0	1	0	1	0	2
739629150387269152741371108844182120242939113390993196336326925578872843554402929318650734652015069373332874961530079955273352548865290850802833074398671417695224876260842353360078227	608	0.750000	0	0	0	0	0	2
645445357841132759846365495584923978102202287349419480432834386537728174511296289874070608957964260989725322815657859627869070753605008952577877776071730132576834676705658508827672377	608	0.750000	0	1	0	1	0	2
664577272034035260996124131854681804765991959795784658769147416914019933086098841905227967253925173823764461929016356041551333868254157470147372455965827935582633204503609656777262375	608	0.750000	0	0	0	0	0	2
565349060689063745315965524530066882653363059452615577895429296218416945145278269707118191390110991808940241302834410818975455982156450583332533850051740554880840750309930977168098053	608	0.750000	0	1	0	1	0	2
877950654634809523166819184195337232639463025628229006200058403988690971302060828959541552898226293519170971964183171145716534851354268028045307614794218249276438023080053285133733783	608	0.750000	0	0	0	0	0	2
